time,open,high,low,close,Volume,Volume MA
1618099800,59828.11,60150,59756.48,60149.99,400.5847939999961,173.60016214999956
1618100100,60150,60282.59,60026.23,60282.55,364.63052099999425,187.03145164999927
1618100400,60282.55,60381.52,60156,60252.04,362.08043899999745,201.4596610499991
1618100700,60252.05,60300,60157.31,60281.94,213.11647999999883,205.81281844999907
1618101000,60281.94,60291.32,60156.72,60225.9,184.60587600000028,208.3526692499991
1618101300,60225.89,60378.85,60201.45,60247.43,259.02507799999995,213.33212534999907
1618101600,60247.43,60429.56,60213.61,60352.04,348.7603159999989,218.16346949999902
1618101900,60352.04,60385.89,60226.79,60236.9,201.38218599999936,219.73759309999895
1618102200,60236.9,60257.28,60185.19,60185.19,123.37438399999985,221.55929604999898
1618102500,60185.2,60200,60146,60148.5,130.4250599999997,223.9456559999989
1618102800,60148.5,60224.42,60082.67,60176.87,237.3451600000008,230.19312939999895
1618103100,60176.87,60184.32,60047.57,60047.64,121.18624100000012,230.01018599999898
1618103400,60047.65,60150,60036.58,60119.75,103.4471430000001,226.1541673499991
1618103700,60119.75,60220,60076.92,60219.99,169.83866499999996,226.63105184999912
1618104000,60219.99,60279.92,60177.24,60252.01,136.07167800000056,222.94092104999913
1618104300,60252,60252.01,60121.66,60199.08,140.6992490000003,224.37226499999915
1618104600,60199.09,60300,60157.32,60300,139.9874079999999,222.58184584999918
1618104900,60299.99,60300,60192.47,60228.17,114.52655900000053,221.3235316499992
1618105200,60228.02,60250.01,60180,60244.3,122.83872100000008,207.9316896999996
1618105500,60244.31,60298.88,60194.2,60216.73,125.02677599999996,199.94763669999978
1618105800,60216.73,60447.51,60207.53,60446.16,218.15943499999997,190.82636874999997
1618106100,60446.17,60600,60393.5,60594.67,285.2711390000011,186.8583996500003
1618106400,60594.67,60594.68,60378.92,60414.2,143.1875809999998,175.91375675000043
1618106700,60414.2,60498.77,60373.62,60409.36,110.60650499999987,170.78825800000047
1618107000,60409.37,60489.21,60399,60480.09,84.85957000000023,165.80094270000046
1618107300,60480.09,60480.1,60263.7,60327.64,132.701482,159.48476290000048
1618107600,60327.63,60368.8,60263.58,60307.31,97.73362099999986,146.9334281500005
1618107900,60307.31,60370,60298.1,60357.74,86.43277900000005,141.18595780000055
